 redshift id F0378 F0378_err F0395 F0395_err F0410 F0410_err F0430 F0430_err F0515 F0515_err F0660 F0660_err F0861 F0861_err sdss.up sdss.up_err sdss.gp sdss.gp_err sdss.rp sdss.rp_err sdss.ip sdss.ip_err sdss.zp sdss.zp_err
0.001825 T17-2744 4.417983e-04 2.208991e-04 0.000000e+00 9.900000e+01 2.074104e-02 1.037052e-02 2.208208e-02 1.104104e-02 1.745758e-02 7.732940e-03 3.022813e-02 3.775462e-03 3.749622e-02 9.281337e-03 4.487271e-03 1.239879e-04 1.264257e-02 3.493272e-04 1.974961e-02 3.638013e-04 2.526042e-02 4.653142e-04 2.605265e-02 7.198613e-04
0.001825 T17-2794 7.540888e-03 3.770444e-03 0.000000e+00 9.900000e+01 2.411491e-02 1.205746e-02 1.458140e-02 7.290700e-03 2.631184e-02 8.897547e-03 4.563980e-02 4.594150e-03 5.813440e-02 9.870437e-03 7.624732e-03 1.404528e-04 2.614451e-02 4.815997e-04 4.058916e-02 3.738400e-04 5.201326e-02 4.790598e-04 5.572500e-02 5.132462e-04
0.001825 T17-2772 1.524252e-02 7.621259e-03 5.460624e-03 2.730312e-03 1.489779e-02 7.448895e-03 2.652129e-02 9.236596e-03 3.549004e-02 8.170032e-03 4.227060e-02 3.696682e-03 7.327179e-02 9.219668e-03 7.115747e-03 1.310769e-04 2.552259e-02 2.350718e-04 4.183131e-02 3.852806e-04 5.307873e-02 4.888732e-04 6.118918e-02 5.635732e-04
0.001825 T17-2756 2.761116e-02 8.137592e-03 1.608311e-02 8.041554e-03 1.446917e-02 7.234586e-03 3.257346e-02 9.775282e-03 4.679966e-02 8.132895e-03 6.616161e-02 3.444802e-03 6.464896e-02 9.322899e-03 8.021193e-03 1.477558e-04 3.125641e-02 2.878822e-04 5.266373e-02 4.850509e-04 6.869546e-02 6.327085e-04 7.090559e-02 6.530646e-04
0.001825 T17-2759 5.043314e-02 8.960688e-03 4.256083e-02 1.296534e-02 1.062088e-01 1.149664e-02 9.974457e-02 1.044353e-02 1.568875e-01 7.661163e-03 2.225127e-01 5.116304e-03 2.379526e-01 9.702531e-03 3.050398e-02 2.809521e-04 1.221884e-01 1.125397e-03 1.809572e-01 1.666677e-03 2.296019e-01 2.114712e-03 2.284111e-01 2.103744e-03
0.001825 T17-2778 0.000000e+00 9.900000e+01 6.849659e-03 3.424829e-03 5.370853e-03 2.685426e-03 3.620404e-03 1.810202e-03 1.749281e-02 7.034674e-03 2.312743e-02 4.138882e-03 2.805443e-02 8.831014e-03 1.725654e-03 9.536316e-05 9.716103e-03 3.579544e-04 1.985649e-02 3.657700e-04 2.662054e-02 4.903684e-04 2.903382e-02 5.348227e-04
0.001825 T17-2631 5.048752e-03 2.524376e-03 4.414119e-03 2.207060e-03 9.889065e-03 4.944533e-03 1.258459e-02 6.292295e-03 1.863797e-02 8.373222e-03 4.421347e-02 3.450213e-03 3.986599e-02 8.956418e-03 2.276454e-03 1.258015e-04 1.205072e-02 3.329738e-04 3.052330e-02 5.622600e-04 4.722686e-02 4.349755e-04 5.530379e-02 5.093667e-04
0.001825 T17-2641 7.857051e-03 3.928525e-03 7.129794e-03 3.564897e-03 0.000000e+00 9.900000e+01 2.945953e-03 1.472976e-03 1.425401e-02 7.127007e-03 1.915839e-02 3.897369e-03 1.629448e-02 8.147242e-03 1.481860e-03 1.091875e-04 8.017172e-03 2.953635e-04 1.588925e-02 4.390362e-04 2.246891e-02 4.138927e-04 2.294753e-02 6.340636e-04
0.001825 T17-2659 3.027738e-03 1.513869e-03 2.969317e-03 1.484658e-03 1.403038e-02 7.015189e-03 1.380886e-03 6.904431e-04 1.281712e-02 6.408561e-03 2.921547e-02 3.691429e-03 3.452702e-02 1.041412e-02 2.246000e-03 1.034321e-04 1.206125e-02 3.332647e-04 2.308052e-02 4.251588e-04 3.421443e-02 6.302530e-04 3.729690e-02 6.870342e-04
0.001825 T17-2630 1.409926e-02 7.049629e-03 5.134900e-02 1.378274e-02 4.361753e-02 1.243443e-02 3.673905e-02 9.444646e-03 6.128942e-02 7.382677e-03 1.213315e-01 3.795533e-03 1.470639e-01 8.910742e-03 1.166261e-02 1.074166e-04 5.259170e-02 4.843875e-04 8.529227e-02 7.855708e-04 1.218880e-01 1.122630e-03 1.316681e-01 1.212708e-03
0.001825 T17-2618 1.560077e-02 7.800383e-03 2.740644e-02 1.281965e-02 1.877145e-02 9.385726e-03 3.000805e-02 1.069668e-02 5.701906e-02 7.451998e-03 9.757473e-02 3.397700e-03 1.184563e-01 9.597685e-03 8.954185e-03 8.247110e-05 4.321947e-02 3.980660e-04 8.150942e-02 7.507295e-04 1.114874e-01 1.026837e-03 1.141201e-01 1.051085e-03
0.001825 T17-2643 3.993951e-03 1.996976e-03 0.000000e+00 9.900000e+01 0.000000e+00 9.900000e+01 1.465846e-02 7.329229e-03 1.037403e-02 5.187014e-03 2.282674e-02 3.620166e-03 3.042314e-02 9.857517e-03 1.523483e-03 9.822260e-05 8.293921e-03 3.055593e-04 1.899144e-02 3.498353e-04 2.671440e-02 4.920975e-04 3.083118e-02 5.679314e-04
0.001825 T17-2705 4.532914e-03 2.266457e-03 1.822376e-02 9.111882e-03 2.267019e-02 1.133185e-02 2.268266e-02 9.583388e-03 4.012420e-02 8.486054e-03 3.884698e-02 3.690977e-03 4.273977e-02 1.103060e-02 7.263614e-03 1.338007e-04 2.185980e-02 4.026723e-04 3.265963e-02 3.008063e-04 4.459614e-02 4.107456e-04 4.602210e-02 8.477584e-04
0.001825 T17-2698 6.756070e-03 3.378035e-03 2.438870e-02 1.219435e-02 2.035473e-02 1.017736e-02 1.901535e-02 9.507673e-03 4.068645e-02 8.274542e-03 7.242828e-02 3.722063e-03 7.797172e-02 9.764395e-03 4.939487e-03 9.098872e-05 2.715599e-02 2.501159e-04 5.320174e-02 4.900062e-04 7.417856e-02 6.832098e-04 7.881856e-02 7.259457e-04
0.001825 T17-2723 6.412753e-03 3.206376e-03 3.008863e-03 1.504431e-03 0.000000e+00 9.900000e+01 1.783116e-02 8.915578e-03 1.398023e-02 6.990114e-03 2.576220e-02 3.539799e-03 3.754154e-02 9.810165e-03 2.585767e-03 9.526316e-05 1.047406e-02 2.894091e-04 1.817673e-02 3.348278e-04 2.462937e-02 4.536897e-04 2.544124e-02 7.029675e-04
0.001825 T17-2628 0.000000e+00 9.900000e+01 1.082509e-02 5.412543e-03 1.586877e-02 7.934385e-03 1.862729e-02 9.313643e-03 8.024181e-03 4.012090e-03 3.341958e-02 3.513901e-03 5.164883e-02 8.836055e-03 1.945895e-03 8.961178e-05 9.961745e-03 2.752532e-04 2.395692e-02 4.413027e-04 3.601097e-02 6.633466e-04 4.047629e-02 7.456008e-04
0.001825 T17-2650 8.606579e-03 4.303289e-03 1.195995e-03 5.979977e-04 2.630205e-02 1.137302e-02 3.768093e-02 8.634968e-03 4.883693e-02 7.493427e-03 5.986534e-02 3.769198e-03 6.723508e-02 8.607737e-03 7.487295e-03 1.379211e-04 2.905817e-02 2.676356e-04 4.876297e-02 4.491236e-04 6.381488e-02 5.877568e-04 6.303445e-02 5.805688e-04
0.001825 T17-2648 5.705305e-02 7.839424e-03 5.044229e-02 1.331329e-02 8.506142e-02 1.201074e-02 8.799819e-02 9.264229e-03 1.443860e-01 9.041199e-03 1.982159e-01 4.205508e-03 2.264783e-01 9.625590e-03 2.920676e-02 2.690042e-04 1.024748e-01 9.438276e-04 1.642971e-01 1.513232e-03 2.053912e-01 1.891723e-03 2.010549e-01 1.851784e-03
0.001825 T17-2671 1.171670e-02 5.858352e-03 4.369168e-03 2.184584e-03 1.843860e-02 9.219301e-03 7.933794e-03 3.966897e-03 9.316019e-03 4.658009e-03 2.464033e-02 3.673864e-03 1.480453e-02 7.402266e-03 1.667334e-03 1.074970e-04 1.044803e-02 2.886897e-04 1.887665e-02 3.477207e-04 2.563302e-02 4.721777e-04 2.750954e-02 7.601168e-04
0.001825 T17-2699 2.899957e-02 9.672602e-03 4.305212e-02 1.588774e-02 4.793510e-02 1.386842e-02 7.219906e-02 1.063241e-02 9.746137e-02 9.569856e-03 1.734729e-01 4.222728e-03 2.137625e-01 9.832631e-03 1.531637e-02 1.410690e-04 7.456818e-02 6.867983e-04 1.367180e-01 1.259219e-03 1.904067e-01 1.753710e-03 1.930704e-01 1.778244e-03
0.001825 T17-2701 2.145997e-02 8.413486e-03 2.273774e-02 1.136887e-02 4.162539e-02 1.444283e-02 3.133963e-02 1.173107e-02 5.534798e-02 9.229357e-03 8.456539e-02 4.317832e-03 7.983237e-02 1.078746e-02 1.258267e-02 1.158906e-04 4.232318e-02 3.898109e-04 6.687390e-02 6.159313e-04 8.968909e-02 8.260670e-04 9.006054e-02 8.294882e-04
0.001825 T17-2742 1.249589e-02 6.247946e-03 1.338155e-02 6.690774e-03 4.708498e-03 2.354249e-03 1.510956e-02 7.554782e-03 3.278441e-02 7.306760e-03 3.793666e-02 3.804646e-03 4.672351e-02 8.992932e-03 3.196668e-03 8.832719e-05 1.550204e-02 2.855581e-04 2.937310e-02 5.410724e-04 4.194977e-02 3.863717e-04 4.246936e-02 7.823145e-04
0.001825 T17-2800 9.810010e-03 4.905005e-03 0.000000e+00 9.900000e+01 2.117093e-02 1.058547e-02 1.138157e-02 5.690783e-03 1.898398e-02 7.750553e-03 3.468181e-02 3.638055e-03 3.879033e-02 1.012140e-02 2.956474e-03 1.089205e-04 1.496547e-02 2.756742e-04 2.674685e-02 4.926952e-04 3.574251e-02 6.584013e-04 3.890248e-02 7.166101e-04
0.001825 T17-2797 1.746234e-02 8.731171e-03 4.932572e-03 2.466286e-03 1.748838e-02 8.744190e-03 1.161710e-02 5.808549e-03 2.114239e-02 7.415998e-03 4.693723e-02 3.495071e-03 6.239411e-02 9.326620e-03 5.239611e-03 1.447758e-04 1.885805e-02 3.473781e-04 3.400633e-02 3.132099e-04 4.757701e-02 4.382005e-04 5.036648e-02 9.277848e-04
0.001825 T17-2799 2.015512e-02 8.033184e-03 2.210841e-02 1.105420e-02 3.288789e-02 1.146758e-02 2.956187e-02 9.863178e-03 1.050307e-01 7.643252e-03 1.825371e-01 3.683539e-03 2.608013e-01 9.074467e-03 1.085092e-02 1.998814e-04 6.214934e-02 5.724165e-04 1.340530e-01 1.234674e-03 2.199036e-01 2.025387e-03 2.510097e-01 2.311885e-03
0.001825 T17-2589 3.794573e-03 1.897287e-03 1.480367e-02 7.401836e-03 2.709656e-02 1.073470e-02 5.102979e-03 2.551490e-03 2.614865e-02 7.317507e-03 3.466387e-02 3.304620e-03 3.160750e-02 8.798910e-03 2.954658e-03 8.164022e-05 1.452527e-02 2.675654e-04 2.975964e-02 5.481929e-04 4.247630e-02 3.912212e-04 4.445082e-02 8.188143e-04
0.001825 T17-2544 4.129554e-02 9.571407e-03 3.786456e-02 1.407941e-02 8.009227e-02 1.058059e-02 7.759619e-02 8.882061e-03 1.302652e-01 7.371843e-03 1.963096e-01 4.643597e-03 2.060565e-01 9.760724e-03 2.596557e-02 2.391517e-04 1.016119e-01 9.358805e-04 1.657221e-01 1.526357e-03 2.220681e-01 2.045323e-03 2.200867e-01 2.027073e-03
0.001825 T17-2534 2.962245e-02 7.662492e-03 4.178508e-02 1.267133e-02 3.370196e-02 1.196099e-02 5.087729e-02 1.024096e-02 1.045398e-01 8.417101e-03 1.565666e-01 3.551896e-03 1.967061e-01 9.380742e-03 1.753213e-02 1.614769e-04 7.656962e-02 7.052323e-04 1.271061e-01 1.170690e-03 1.640842e-01 1.511271e-03 1.610807e-01 1.483608e-03
0.001825 T17-2878 1.131529e-02 5.657644e-03 0.000000e+00 9.900000e+01 2.627481e-02 1.120042e-02 2.764998e-02 1.202188e-02 1.859314e-02 8.150530e-03 2.839131e-02 3.674411e-03 3.994417e-02 9.394783e-03 3.911814e-03 1.441165e-04 1.629115e-02 3.000941e-04 2.725212e-02 5.020026e-04 3.831492e-02 7.057869e-04 4.260615e-02 7.848342e-04
