recno,T17ID,oldID,RAJ2000,DEJ2000,Prob,Rgc,PA,umag,gmag,rmag,imag,zmag,e_umag,s_umag,e_gmag,s_gmag,e_rmag,s_rmag,e_imag,s_imag,e_zmag,s_zmag
1912,T17-1912," ",201.51812499999997,-42.46105555555555,1.0,34.72,20.39,21.97,20.31,19.7,19.33,19.26,0.01,0.08,0.01,0.04,0.01,0.08,0.01,0.02,0.01,0.03
1994,T17-1994," ",201.5860833333333,-42.362647222222215,1.0,41.56,24.49,21.28,19.68,19.14,18.81,18.72,0.01,0.08,0.01,0.03,0.01,0.08,0.01,0.02,0.01,0.02
1689,T17-1689,H12-124,201.41929166666665,-42.39891944444444,1.0,37.35,6.75,23.45,22.36,21.17,20.73,20.52,0.04,0.13,0.06,0.13,0.06,0.11,0.01,0.05,0.02,0.07
1725,T17-1725," ",201.43491666666665,-42.36628888888888,1.0,39.39,8.24,20.84,19.19,18.82,18.44,18.4,0.01,0.08,0.01,0.03,0.01,0.08,0.01,0.02,0.01,0.02
1881,T17-1881,GC0349,201.50404166666664,-42.36762222222222,1.0,39.97,16.1,21.87,19.89,19.1,18.52,18.29,0.01,0.08,0.01,0.04,0.01,0.08,0.01,0.02,0.01,0.02
2008,T17-2008," ",201.59462499999998,-42.32084444444444,1.0,44.1,23.97,22.71,21.43,20.87,20.37,20.23,0.02,0.1,0.02,0.08,0.02,0.1,0.01,0.04,0.02,0.06
2191,T17-2191," ",201.86204166666664,-42.24524444444444,1.0,55.18,40.94,23.79,21.68,20.77,20.32,20.15,0.06,0.14,0.03,0.09,0.02,0.1,0.01,0.04,0.01,0.05
2181,T17-2181," ",201.84137499999997,-42.23445277777777,1.0,55.07,39.35,23.77,21.83,21.04,20.57,20.47,0.06,0.14,0.04,0.1,0.03,0.11,0.01,0.04,0.02,0.07
2113,T17-2113," ",201.73112499999996,-42.15721388888888,1.0,56.19,29.81,22.51,20.97,20.34,19.98,19.84,0.02,0.09,0.02,0.05,0.01,0.09,0.01,0.03,0.01,0.05
2210,T17-2210," ",201.8834583333333,-42.062638888888884,0.25,65.28,36.13,21.85,20.14,19.57,19.24,19.18,0.01,0.08,0.01,0.04,0.01,0.08,0.01,0.02,0.01,0.03
1827,T17-1827," ",201.47937499999998,-42.29465555555555,1.0,44.01,12.04,23.98,22.58,21.49,20.89,20.68,0.06,0.15,0.07,0.15,0.04,0.13,0.01,0.06,0.02,0.08
1923,T17-1923," ",201.5250833333333,-42.26962222222222,1.0,45.98,16.09,21.9,20.31,19.65,19.25,19.13,0.01,0.08,0.01,0.04,0.01,0.08,0.01,0.02,0.01,0.03
1798,T17-1798," ",201.46670833333332,-42.22861111111111,0.28,47.82,9.85,22.44,20.91,20.33,19.97,19.9,0.02,0.09,0.02,0.05,0.01,0.09,0.01,0.03,0.01,0.05
1631,T17-1631," ",201.39316666666664,-42.118986111111106,1.0,54.03,2.41,22.79,21.65,20.66,19.98,19.87,0.02,0.1,0.03,0.09,0.02,0.1,0.01,0.04,0.01,0.05
1802,T17-1802," ",201.46824999999998,-42.16943055555555,1.0,51.36,9.3,23.52,21.42,20.64,20.17,20.08,0.05,0.14,0.03,0.08,0.02,0.1,0.02,0.05,0.02,0.06
1935,T17-1935," ",201.5293333333333,-42.11073888888888,1.0,55.39,13.7,23.93,22.49,21.73,21.34,21.19,0.07,0.17,0.06,0.15,0.04,0.13,0.04,0.11,0.05,0.11
2167,T17-2167," ",201.81374999999997,-42.04857499999999,1.0,64.15,31.9,21.56,19.77,19.2,18.78,18.65,0.01,0.08,0.01,0.03,0.01,0.08,0.01,0.02,0.01,0.02
2122,T17-2122," ",201.74987499999997,-41.99397222222222,1.0,65.7,26.8,22.93,20.83,20.02,19.51,19.43,0.03,0.11,0.02,0.06,0.01,0.09,0.01,0.03,0.01,0.04
2028,T17-2028," ",201.61587499999996,-41.98100833333333,1.0,64.08,18.01,21.23,19.86,19.21,18.68,18.67,0.01,0.08,0.01,0.04,0.01,0.08,0.01,0.02,0.01,0.03
2165,T17-2165," ",201.80374999999998,-41.90010833333333,1.0,72.12,27.78,23.98,22.53,21.93,21.48,21.36,0.08,0.17,0.07,0.15,0.06,0.14,0.05,0.13,0.07,0.15
2088,T17-2088," ",201.6852083333333,-41.940863888888885,1.0,67.49,21.76,22.97,21.73,21.23,20.88,20.75,0.04,0.11,0.03,0.09,0.03,0.12,0.03,0.08,0.03,0.09
2084,T17-2084," ",201.68337499999998,-41.915661111111106,1.0,68.91,21.19,22.06,20.38,19.67,19.1,19.02,0.02,0.09,0.01,0.04,0.01,0.08,0.01,0.03,0.01,0.03
2313,T17-2313," ",202.06891666666664,-42.12037777777777,1.0,68.49,46.56,22.76,20.93,20.08,19.54,19.46,0.03,0.1,0.02,0.06,0.01,0.09,0.01,0.03,0.01,0.05
