# redshift id F0378 F0378_err F0395 F0395_err F0410 F0410_err F0430 F0430_err F0515 F0515_err F0660 F0660_err F0861 F0861_err
0.001825 T17-2358 7.370814e-03 3.685407e-03 5.514766e-03 2.757383e-03 9.447027e-03 4.723513e-03 1.576520e-02 7.882601e-03 5.587793e-02 8.272440e-03 7.478114e-02 3.933601e-03 1.229374e-01 9.913527e-03
0.001825 T17-2415 6.272794e-04 3.136397e-04 9.632923e-03 4.816461e-03 1.787434e-02 8.937171e-03 6.962145e-03 3.481072e-03 2.978501e-02 7.240303e-03 5.498473e-02 3.213443e-03 6.047590e-02 9.515110e-03
0.001825 T17-2197 9.501881e-03 4.750941e-03 1.753504e-02 8.767518e-03 0.000000e+00 9.900000e+01 7.021748e-03 3.510874e-03 1.975683e-02 7.780165e-03 2.035608e-02 3.690844e-03 2.482943e-02 9.143363e-03
0.001825 T17-2327 1.248485e-02 6.242425e-03 1.320166e-02 6.600831e-03 5.733419e-03 2.866710e-03 6.447566e-03 3.223783e-03 2.031944e-02 7.844930e-03 3.634804e-02 3.364233e-03 6.232483e-02 9.123152e-03
0.001825 T17-2346 3.722240e-03 1.861120e-03 1.109562e-02 5.547812e-03 2.308125e-03 1.154062e-03 1.252021e-02 6.260103e-03 2.583056e-02 8.191665e-03 3.533563e-02 3.632644e-03 4.007786e-02 1.045024e-02
0.001825 T17-2418 2.711113e-02 1.023462e-02 4.443487e-03 2.221743e-03 3.652929e-02 1.258964e-02 0.000000e+00 9.900000e+01 3.489283e-02 1.372944e-02 6.197095e-02 1.515585e-02 7.109305e-02 2.027941e-02
0.001825 T17-2303 1.115519e-02 5.577593e-03 0.000000e+00 9.900000e+01 7.213518e-03 3.606759e-03 1.873416e-02 9.367082e-03 2.522992e-02 7.803652e-03 4.531153e-02 3.998038e-03 6.278921e-02 1.078200e-02
0.001825 T17-2343 6.848241e-03 3.424120e-03 0.000000e+00 9.900000e+01 3.977071e-03 1.988536e-03 5.129610e-03 2.564805e-03 1.887123e-02 8.248810e-03 1.856690e-02 3.925457e-03 4.013067e-02 1.040863e-02
0.001825 T17-2365 8.544276e-04 4.272138e-04 1.436011e-02 7.180057e-03 8.784211e-03 4.392105e-03 0.000000e+00 9.900000e+01 1.177483e-02 5.887414e-03 2.883762e-02 3.530317e-03 3.728467e-02 9.534496e-03
0.001825 T17-2387 3.369826e-03 1.684913e-03 8.335798e-03 4.167899e-03 7.091570e-03 3.545785e-03 2.597474e-03 1.298737e-03 2.485057e-02 7.498300e-03 4.027240e-02 3.430326e-03 3.836027e-02 8.718229e-03
0.001825 T17-2211 2.773796e-02 1.006375e-02 2.573986e-02 1.286993e-02 3.749734e-02 1.388039e-02 4.273952e-02 1.153867e-02 6.238741e-02 7.719267e-03 8.038480e-02 3.637153e-03 1.007338e-01 9.006039e-03
0.001825 T17-2240 1.578371e-02 7.891855e-03 0.000000e+00 9.900000e+01 3.261262e-03 1.630631e-03 1.438996e-02 7.194982e-03 1.760871e-02 8.165155e-03 2.474101e-02 4.211110e-03 4.377194e-02 1.120953e-02
0.001825 T17-2268 7.407447e-03 3.703724e-03 0.000000e+00 9.900000e+01 1.301411e-02 6.507054e-03 1.696217e-02 8.481083e-03 1.804977e-02 8.274569e-03 4.902779e-02 3.836890e-03 5.727883e-02 1.022783e-02
0.001825 T17-2285 2.270024e-02 1.125621e-02 4.412251e-02 1.602054e-02 3.218412e-02 1.158869e-02 4.002794e-02 1.034178e-02 6.545987e-02 8.031289e-03 1.091247e-01 3.978326e-03 1.419315e-01 9.166046e-03
0.001825 T17-2232 4.703196e-02 1.004494e-02 7.423663e-02 1.571801e-02 7.452607e-02 1.173585e-02 8.657078e-02 1.015530e-02 1.479996e-01 7.961471e-03 1.871600e-01 4.029000e-03 2.232694e-01 9.993333e-03
0.001825 T17-2221 0.000000e+00 9.900000e+01 9.190798e-03 4.595399e-03 1.767418e-02 8.837091e-03 1.118425e-02 5.592123e-03 9.226013e-03 4.613006e-03 2.337927e-02 4.166489e-03 4.447991e-02 9.289434e-03
