       id  bayes.stellar.age_m_star  bayes.stellar.age_m_star_err  bayes.stellar.metallicity  bayes.stellar.metallicity_err           bayes.sfh.sfr       bayes.sfh.sfr_err  bayes.stellar.m_star  bayes.stellar.m_star_err             bayes.F0378         bayes.F0378_err             bayes.F0395         bayes.F0395_err             bayes.F0410         bayes.F0410_err             bayes.F0430         bayes.F0430_err             bayes.F0515         bayes.F0515_err             bayes.F0660         bayes.F0660_err             bayes.F0861         bayes.F0861_err      best.chi_square  best.reduced_chi_square  best.sfh.age  best.sfh.age_burst  best.sfh.age_main  best.sfh.f_burst  best.sfh.tau_burst  best.sfh.tau_main  best.stellar.age_m_star  best.stellar.imf  best.stellar.metallicity  best.stellar.old_young_separation_age   best.universe.age  best.universe.luminosity_distance  best.universe.redshift  best.sfh.integrated            best.sfh.sfr     best.sfh.sfr100Myrs      best.sfh.sfr10Myrs        best.stellar.lum     best.stellar.lum_ly  best.stellar.lum_ly_old  best.stellar.lum_ly_young    best.stellar.lum_old  best.stellar.lum_young  best.stellar.m_gas  best.stellar.m_gas_old  best.stellar.m_gas_young  best.stellar.m_star  best.stellar.m_star_old  best.stellar.m_star_young       best.stellar.n_ly   best.stellar.n_ly_old  best.stellar.n_ly_young              best.F0378              best.F0395              best.F0410              best.F0430              best.F0515              best.F0660              best.F0861 
 T17-2279         6955.185176564363             2489.166459267042       0.018368943065874374           0.009848831783381072   1.758474026576427e-05  2.8039066591955932e-05     742810.1079958964        252317.60500024338    0.004791647965926203   0.0008470826607995699   0.0054427071883516335   0.0010389685555337966    0.009365749726366078   0.0011389794114629963    0.011222216728051798   0.0010457649371751392    0.019931064469066083   0.0005808950909024581     0.03413755497016487    0.001485620548491167    0.048820344778231425    0.003121013062935173    4.252027357014526       0.7086712261690877        6000.0                20.0             6000.0               0.0                50.0             1000.0        4056.586361472402               1.0                      0.03                                    1.0  13728.314005334232             2.4015490534256495e+23                0.001825   1053684.0216493928  1.5961058298952043e-05  1.6637228134381896e-05   1.602106215916216e-05  2.0647180840285204e+32   5.152825713497319e+29      5.1527009451942e+29     1.2476830311834156e+25  2.0646386284727146e+32   7.945555580560934e+27   401939.4997438458      401934.52563963755         4.974104208285414     651744.521905548        651733.5349514574         10.986954090666627   5.587811178924623e+46   5.587704405865954e+46   1.0677305866782625e+42    0.004551628577847498    0.005213801308137065    0.009154760922040041    0.011238603439473438    0.020147351185431952    0.034853464341575276     0.04970691393025021 
 T17-2342         9855.285385643041            1732.6074671404601       0.028393560480518037          0.0038335514791739598   7.312915263439996e-07  2.8123401491691305e-06    1227057.9937609322        235152.33631868282    0.002794916954067507  0.00024682622866595044     0.00318840899100894  0.00024283831985507794   0.0063801626867851435  0.00026206084310054966     0.00821603369242375  0.00018186368253223601    0.016655713700973747  0.00022005926318219572     0.03255803560648915   0.0014496104572774501     0.04859465162160645    0.002621411850239456    8.985019975419185       1.4975033292365307       13000.0                20.0            13000.0               0.0                50.0              500.0       11997.810659104722               1.0                      0.03                                    1.0  13728.314005334232             2.4015490534256495e+23                0.001825    2638102.429370597   7.022209681259671e-13   7.735344446056652e-13   7.083349773702617e-13   2.076985257852103e+32  1.1359578872680011e+30   1.1359578872674521e+30      5.489292562320162e+17  2.0769852578486074e+32  3.4957179076568606e+20  1107825.2196825638      1107825.2196823452    2.1884014250677643e-07   1530277.2096880348       1530277.2096875517      4.833808256191907e-07   2.420664986132579e+47  2.4206649861321092e+47    4.697575763658134e+34    0.002491258239525942   0.0029023408639782503    0.006035591966837964    0.007957605720761467    0.016746687943595125      0.0340718084863998     0.05146177902976646 
 T17-2352         7841.159699134986            2341.0044607056225       0.021522952013960282           0.008852913114064165  1.8303298736607165e-05  3.9051476734254344e-05    2038902.7804929593         619382.2001223936     0.00920818768609643    0.001880041448830604     0.01038059981455923     0.00215655923443986    0.018809725948108258     0.00253243163428568    0.023055371474349023   0.0023510891858218564     0.04293790073562455   0.0016538275463770652     0.07709203799278716   0.0020102830393865503     0.11202278753677608     0.00520087534730475   3.4285616005596142       0.5714269334266023       13000.0                20.0            13000.0               0.0                50.0             2000.0        9070.115480593535               1.0                      0.03                                    1.0  13728.314005334232             2.4015490534256495e+23                0.001825    4464775.823260461  2.2073873059840935e-05   2.254247759411785e-05  2.2115952220480235e-05  4.7472094450638845e+32  2.1217678559579177e+30   2.1217506007131002e+30      1.725524481736186e+25   4.747099559377115e+32   1.098856867697353e+28   1827079.953028537      1827073.0739267368          6.87910180036883   2637695.8702319157        2637680.675460656         15.194771259472109   3.780197915012495e+47    3.78018314847948e+47   1.4766533014914763e+42    0.007658067335635153    0.008806605214154875    0.016813438875478696     0.02135276454666738    0.041633703048726406     0.07874058324115105     0.11606423018528657 
 T17-2454         5328.317061523834            2510.2156522303885       0.007815693690724372            0.00930228582865568   6.735231666446555e-05   7.113766675536821e-05     766909.3060839359          303046.452871666     0.01392633756190011   0.0027460387039961536     0.01716475723642173    0.004158136258943773     0.02474711218635723    0.003994555411874094    0.027503493632802287   0.0034701619954797596    0.042491472534172986    0.002890405261393688     0.06226798756331075   0.0012038193389708914     0.08338403357139801    0.005506523637832763   1.4999769184884297      0.24999615308140496        6000.0                20.0             6000.0               0.0                50.0              500.0        4993.044840281475               1.0                    0.0004                                    1.0  13728.314005334232             2.4015490534256495e+23                0.001825    1170957.514567333  1.7300141877163885e-07  1.8969170969862153e-07  1.7443691129020112e-07  3.2592666982836495e+32  1.0203746588109279e+30   1.0203744389433325e+30      2.198675953645595e+23  3.2592648721474215e+32  1.8261362284643336e+26   567568.4099508214       567568.3388437784       0.07110704314351901    603389.1046165118        603389.0027221362        0.10189437562811987   2.616860485706619e+47   2.616860001590364e+47    4.841162546902651e+40    0.016523631937904824    0.021049997301388595     0.02809497470190381      0.0299294222795525    0.045628233384320545     0.06270464331925847      0.0765399997651485 
 T17-2545         6396.207231056688            2611.5183480143405        0.01394840404174211            0.01083361150857627  2.9860516736524587e-05   4.138333249446527e-05     719557.3048333065        296766.13323484943    0.006968269728558586   0.0018693317457716073    0.008178958171370015   0.0025360146658564516    0.012932866074142272   0.0026140872695686822    0.014983117524294655   0.0023747334844577174    0.025030906676158496   0.0018875495335842819     0.04021085147585052   0.0009591695489003549     0.05607256298691311   0.0036249873684090573   1.5837056072636362      0.26395093454393936        6000.0                20.0             6000.0               0.0                50.0             2000.0       3057.6036981479056               1.0                      0.03                                    1.0  13728.314005334232             2.4015490534256495e+23                0.001825    909222.9117747222   8.481859793890058e-05   8.622958700239692e-05   8.494591592004945e-05  2.3730387250869426e+32  5.3532147274737374e+29    5.352551696718539e+29     6.6303075519800075e+25   2.372616490626316e+32   4.222344606266078e+28  333046.83412925777       333020.4012613961         26.43286786167898    576176.0776454661        576117.6919153889         58.385730077221616   5.477426871971562e+46   5.476859469675033e+46    5.674022965286464e+42   0.0066949855589683764    0.007902855465981072    0.012953759583754061    0.015462482654802372    0.025462850616804773     0.04063868792457061     0.05578537606633081 
 T17-2492         5256.622979313165            2511.5324814369646       0.009266511779026983           0.010083322012813483   6.645026163655274e-05   6.873140104442268e-05     698446.6578633068        261506.54919365075     0.01208656829301401   0.0021968614114704667    0.014796822327420947    0.003316653270173655     0.02159436374647509   0.0030790615414274815    0.024148891822019278    0.002606540146398028     0.03753718578294116   0.0019435867135591295     0.05547881735750654   0.0016100884586666027     0.07459734798454631    0.005659607865711022    5.151846760529697       0.8586411267549495        5000.0                20.0             5000.0               0.0                50.0             5000.0       1910.4839034524405               1.0                      0.03                                    1.0  13728.314005334232             2.4015490534256495e+23                0.001825    934375.7363458897  0.00026020589561539316   0.0002601881146577363   0.0002602057002516302  3.2796861690464264e+32     6.5762716427379e+29     6.57423760167062e+29     2.0340410672801384e+26   3.278390841150696e+32  1.2953278957307535e+29   323114.3453460053      323033.25478069566         81.09056530958112    611261.3909998841        611082.2756695782         179.11533030581202   6.298087899376743e+46   6.296347226619469e+46   1.7406727572745473e+43     0.01115785705106631    0.013459586396664556    0.021131072991383802      0.0247437856042604     0.03821220683949571    0.056900285755049726     0.07528687917040511 
 T17-2517         5052.266077961978             2289.005107943604       0.012593538830065948            0.01000593813670537  0.00018000412747923056  0.00016583264991427169    1807547.4489344996         548036.4956683532    0.026105809068971215    0.003503733600776885    0.031132617524771897    0.005132373984807393     0.04790021500470693    0.005002448106381308     0.05466827045289008    0.004342121340140997     0.08694899020247916   0.0023910462781652955     0.13311713320503787    0.004718730114356965     0.18446820839097802    0.010108667517402798    1.436384450672889       0.2393974084454815        6000.0                20.0             6000.0               0.0                50.0             5000.0       2361.9952045384343               1.0                      0.03                                    1.0  13728.314005334232             2.4015490534256495e+23                0.001825   2473507.1930975397   0.0005300563784171426   0.0005309067655114929   0.0005301356188855908   7.820793970157647e+32   1.624750648938019e+30   1.6243363015078333e+30     4.1434743018577024e+26   7.818155302760623e+32   2.638667397023897e+29   875110.8870030066       874945.7002332367         165.1867697699183    1598396.306094527       1598031.4364858798         364.86960864722425  1.5912041350934111e+47  1.5908495487011436e+47    3.545863922676418e+43     0.02524954769951308     0.03029923874822114    0.048103167640446566     0.05661400322490357     0.08897301145420837      0.1351569364243494     0.18080663148080028 
 T17-2467         5934.283486537034            2477.2365861093062       0.013526114851963809           0.010160836733376094   6.737887944840977e-05   8.030643432852697e-05    1211871.9182593313         429254.0217535091    0.013033226933371039    0.002547791121764853    0.015257632776946094    0.003543950983542999    0.024228453054377833    0.003695787894577823     0.02803440223492874   0.0033621146808866438    0.046349681938426486    0.002316727663754297     0.07381765812495475    0.002050401395565065     0.10332070681074473     0.00545430222690496    4.489714331726089       0.7482857219543481        9000.0                20.0             9000.0               0.0                50.0             5000.0        3879.996854250619               1.0                      0.03                                    1.0  13728.314005334232             2.4015490534256495e+23                0.001825    1845926.280696514  0.00020452352305800833  0.00020542176267640539  0.00020460530809915045   4.378501623496607e+32   1.038172106935439e+30   1.0380122299871705e+30     1.5987694826857528e+26  4.3774834873620524e+32  1.0181361345545851e+29   688201.1872411596       688137.4495304339         63.73771072579772   1157725.0934553503       1157584.3076430182         140.78581233221064   1.072182956905862e+47  1.0720461388971975e+47   1.3681800866460738e+43    0.012360102761850856    0.014664394572139437     0.02399738325775363     0.02861845832672631     0.04697927432705132     0.07492052797902155     0.10277862853882867 
 T17-2459        6244.2501543519165            2613.0519672032415       0.014009068917157148           0.010383916296467269   2.408011214045148e-05   3.134782678026371e-05     565317.6905624343        258725.59707932922    0.005340844217350352    0.001441074497086313    0.006294948301500532    0.001991213558469669    0.010024543290342485    0.002135604712705604    0.011616331030624975   0.0019462589223332534     0.01938064011138465   0.0014214599999769313    0.031249765717328074   0.0008589047496454066     0.04403036759949405   0.0027616120193113373    2.174756168403831      0.36245936140063845       11000.0                20.0            11000.0               0.0                50.0             2000.0        7179.737482931044               1.0                     0.008                                    1.0  13728.314005334232             2.4015490534256495e+23                0.001825   1053418.8781575314  1.2167095698863566e-05  1.2416680534413718e-05  1.2189521368677592e-05  1.8181988650247126e+32   5.762222719361797e+29   5.7621115279706884e+29     1.1119139110915818e+25   1.818111450846795e+32   8.741417791755451e+27   507241.7796877514       507237.0172431529         4.762444598449178    546177.0984697815        546169.6938186811          7.404651100414389  1.3817386366494238e+47  1.3817077914967678e+47    3.084515265619722e+42    0.005275412987357815    0.006065554967067645    0.009887269128320995    0.011437671178839074     0.01933565470482938     0.03145710926184441     0.04483037593478824 
 T17-2504         9868.866342688656            1873.7674169128222       0.027487260985500552           0.005429229457596502   3.141434700085153e-07  1.3263072686284917e-06     427571.1881262361         114516.6355637737   0.0009922617024672332   6.962788179309143e-05   0.0011315569088516649   6.478010512445272e-05    0.002250555212610129    1.93243656719161e-05    0.002889894780473366    6.23648703700912e-05    0.005838241612730044   0.0003666352901468141    0.011380132315167386   0.0011794206745782637     0.01697209870542489    0.001963169627232323    39.66846373453372        6.611410622422286       13000.0                20.0            13000.0               0.0                50.0              500.0       11997.810659104722               1.0                      0.03                                    1.0  13728.314005334232             2.4015490534256495e+23                0.001825    975239.8337801339   2.595933549083163e-13   2.859561458955249e-13   2.618535496955819e-13   7.678089884154857e+31   4.199349383961508e+29    4.199349383959479e+29     2.0292528093099318e+17   7.678089884141934e+31  1.2922786140714325e+20  409535.00177717756      409535.00177709665     8.089967312362771e-08     565704.832002957        565704.8320027783     1.7869368178468863e-07   8.948587031461675e+46   8.948587031459938e+46   1.7365751063777117e+34   0.0009209552458500713    0.001072922108803311   0.0022312059004881376    0.002941725838240021    0.006190827537494822    0.012595486996610943    0.019024119862924828 
