ra,dec,flux_aperture,mag_inst,gaia_idx,gaia_G,gaia_BP,gaia_RP,gaia_Plx,gaia_pmRA,gaia_pmDE,gaia_e_Gmag,gaia_RUWE,distance_arcsec
202.35155208718496,-45.536382703520815,8.888304674899608,17.627952667457784,6122,18.504772,19.667772,17.48347,0.9497,-5.374,-12.064,0.003478,1.071,0.5899729468410538
202.43965892735613,-45.53684709965729,7.595620885173289,17.798591800050396,6587,18.12287,18.56729,17.523954,0.0012,-2.299,-6.021,0.003297,0.982,0.3503174311530981
202.37753628725653,-45.53646048521298,7.624095836380787,17.79452913290715,6118,18.860119,19.357416,18.306452,0.2281,-17.959,-8.222,0.003739,1.032,0.31089413311054465
202.50337939719427,-45.53658053033637,19.166052595915588,16.793668310957795,5276,17.296654,17.66114,16.768482,0.2083,-6.242,-2.995,0.002902,1.043,0.007904966203027393
202.34357982716787,-45.535445405839155,68.11641214848505,15.41687058854353,6123,15.885385,16.262203,15.329446,0.5355,2.597,-4.789,0.0028,1.083,0.22811832168244175
202.75531789883303,-45.536450870146176,6.442169442342479,17.977419641297026,5079,18.527372,18.888662,18.036507,0.0691,-8.334,1.299,0.003345,1.015,0.17626772772053714
202.84722710179875,-45.53649092736136,2.4672800426898807,19.019453885359642,10555,18.99925,19.507065,18.332584,0.2173,-1.947,-0.953,0.003798,1.044,0.13654084407008005
202.42119281311062,-45.53531632057028,3.7612165774650133,18.561679146015052,6594,18.20642,18.761875,17.523653,0.6463,0.12,-3.152,0.003275,0.983,0.46715854641869775
202.4213193031473,-45.53532011596461,3.938805108205182,18.511588768770235,6594,18.20642,18.761875,17.523653,0.6463,0.12,-3.152,0.003275,0.983,0.6053568119472591
202.4879531008719,-45.53536436296515,10.464165998297325,17.450738448826243,5279,18.140884,18.518435,17.631569,0.115,-8.184,-3.922,0.003206,1.018,0.14971015663469645
202.42116425991819,-45.53521896505742,3.4312240899962,18.661377294108924,6594,18.20642,18.761875,17.523653,0.6463,0.12,-3.152,0.003275,0.983,0.11532877795778312
202.29641876747624,-45.53430875347721,47.694401559023305,15.803831490275684,6138,17.18406,17.54665,16.65362,0.1141,-4.899,-0.708,0.002958,1.059,0.2756671850974424
202.28279779483128,-45.53418820800835,21.615456330340432,16.66308897877826,6366,16.785057,17.276123,16.150908,0.6698,-2.87,-2.672,0.002864,1.042,0.2880498981293999
202.73125616937398,-45.535587474575095,7.667521834460128,17.78836244654254,5082,17.774815,18.34685,17.007738,0.5493,-5.02,-3.808,0.003065,0.962,0.2928178430328345
202.42503386832814,-45.53464035712353,21.052633549596383,16.691733922425776,6595,16.779598,17.215607,16.16346,0.6103,-10.912,-10.533,0.002904,1.052,0.1497509782010387
203.04513898947135,-45.53525023725584,8.951719741555864,17.620233807641863,9577,17.588837,17.963446,17.062548,0.0834,-4.313,-0.875,0.00296,0.972,0.24544383615948118
203.07542148665564,-45.534819705273115,16.753313258180565,16.939748227166,9318,16.21908,16.981377,15.374109,1.6342,-24.559,-2.605,0.002807,1.026,0.2552557805953425
202.90764675537963,-45.53508373530727,6.422344085212364,17.980766075657314,9489,18.252523,18.627085,17.68908,0.2612,-1.556,-0.09,0.003153,0.924,0.17707799770031626
201.91953548208141,-45.53086002921162,50.32664327701583,15.745505088811527,5608,15.985666,16.37411,15.423074,0.2659,-10.313,-3.845,0.002816,1.004,0.24062068327455588
202.21388342060345,-45.53299186411068,28.786042056909242,16.35204511107384,6387,16.630827,17.006964,16.089586,0.3693,-1.047,-1.888,0.002837,1.027,0.2461033634588477
