source_id,ra,dec,spectrum_file,mag_F378,mag_F395,mag_F410,mag_F430,mag_F515,mag_F660,mag_F861,flux_F378,flux_F395,flux_F410,flux_F430,flux_F515,flux_F660,flux_F861,distance_arcsec,gaia_phot_g_mean_mag,gaia_phot_bp_mean_mag,gaia_phot_rp_mean_mag,gaia_ruwe,gaia_parallax,gaia_pmra,gaia_pmdec
6111473484207648000,203.76189293801855,-44.311098267764216,,-3.649709473473558,-4.022015578829615,-5.927449553512224,-6.309376914109867,-7.2228198659699085,-7.679176654789398,-8.520268563087217,28.83259883318708,40.6262027449486,234.95236525537837,334.0033060911012,774.6899936269488,1179.4259036211847,2559.2188461022906,0.38657258194049926,13.382121,13.959745,12.665543,1.045155,4.043864822497716,-7.285295558148858,10.328488322011939
6087398474527019776,203.0994172850029,-45.08426783682455,,-3.6496859286424783,-3.930859877776935,-5.532292022457018,-5.791385287488399,-6.55252724865961,-6.506481656944518,-7.215862183895992,28.83197358802581,37.35458803113245,163.27391595736657,207.27843215005754,417.8408530430919,400.49090952991605,769.741449888282,0.2617913546555213,14.419311,14.817091,13.858351,1.209486,1.0571536204128626,13.394815239574797,-1.4269133485818397
6084350937532376832,203.58248864855108,-45.36347100769032,,-3.6475531227640916,-3.9881374539913867,-5.739518803042153,-6.109450323979486,-7.123072828440751,-7.323355724610485,-8.192239576613755,28.775392031666144,39.378120316869996,197.60936437202486,277.8306337595237,706.6903018349112,849.8500217127536,1891.88977780113,0.4692205457114364,13.655953,14.20802,12.955572,1.0060537,0.40532420484855325,-2.9888083247203663,-4.5342513783815
6087645624125708032,203.32394363006222,-44.278659726330496,,-3.6462150322235916,-3.9626085455491378,-5.71307591534962,-6.053778854782043,-7.021372751092107,-7.215393728688931,-8.093994788679112,28.739950307682232,38.46302332020979,192.85476161721508,263.94384677742994,643.5008137522943,769.4094064237895,1728.2155778339595,0.31436878068520274,13.776268,14.323051,13.077767,0.9916637,0.538493779005799,-5.596949349234031,-1.6799988336523761
6087471076654107008,201.90575260044352,-45.383619593997764,,-3.645917284218153,-3.7946539558229126,-5.3818139235323335,-5.577398846594183,-6.322929997264116,-6.265797149197817,-7.009882278907406,28.732069857905117,32.95046762151276,142.1430301783038,170.19999329424036,338.198750635236,320.86242367780505,636.7264800117074,0.44968299071193546,14.627519,15.031859,14.053558,1.024712,0.7352325891569056,-22.563419154058042,-0.5947577105158723
6087577523123875712,202.2288668157492,-44.585208763004545,,-3.645693667289138,-3.863808313674334,-5.454726526636269,-5.693173032925114,-6.451025305256051,-6.381567881020135,-7.074796088294804,28.72615284454327,35.117478521380306,152.0164585071475,189.35170200508506,380.5485943462533,356.9662462915107,675.9560124273695,0.18826782836364903,14.539765,14.9274645,13.983977,0.9338036,1.0113986228216065,-14.654449588002544,-4.171414142109631
6087400810988826368,203.18317258333545,-44.99247968599245,,-3.6431963140870343,-3.797249279771479,-5.187743647910075,-5.412250579493742,-5.899728981502003,-5.6018943590353585,-6.2344378173759925,28.660154393757168,33.029326029428134,118.87689667946945,146.184131471221,229.02958840227802,174.0835536687171,311.7275074364161,0.11074313549876247,15.2336,15.505611,14.797397,1.0753815,0.3679301458656795,-9.859739821011505,-4.020327617245936
6087377308927797632,203.325896174155,-44.967218088595935,,-3.6420994795386727,-3.781745065285868,-5.162647842724529,-5.35901116152639,-5.942716185365261,-5.748980370878744,-6.435430779318395,28.631215896248534,32.56102187901253,116.16067769540768,139.1888557582936,238.279386993585,199.33894175080326,375.12180695743166,0.09312958507615546,15.127958,15.449652,14.6331625,0.99814504,0.6053415630960459,-16.483341167764337,-6.3094880142325325
6084346573845550208,203.64872716144373,-45.45878212073984,,-3.6407771327606997,-3.8131690060565226,-5.3227223800484325,-5.537800301438289,-6.240006708758699,-6.125916383044725,-6.824038097791054,28.596366409150836,33.51719008761691,134.6136040859043,164.1043603150246,313.33050849325656,282.0762706904307,536.5562266053657,0.43549443795895587,14.792045,15.159858,14.24797,0.9495958,0.7406987275485951,-20.809088764118144,-3.741526507948925
6087674761183699712,202.5197018565134,-44.32840561535217,,-3.6382493487329084,-3.7935660036775194,-5.319005583368092,-5.544009194990901,-6.249438240867995,-6.133903456530168,-6.835138062750601,28.529866501870934,32.91746644044081,134.15356970582218,165.04549631304556,316.0641923180852,284.15897831723055,542.0698158840286,0.2663413570621829,14.777915,15.143875,14.237206,0.9142203,0.868436122010019,-14.554386539923424,2.229761766102068
