source_id,filter,ra,dec,x,y,flux,flux_err,mag,mag_err,snr,aper_radius_arcsec,aper_radius_pixels
T17-2361,F410,202.15366666666665,-44.91257777777777,8883.79194209341,4916.461404667702,2.5396412663781933,0.7079299483114009,22.538069061831344,0.3026510812727432,3.587418885775218,3.0,5.454545454545454
T17-2602,F410,202.66904166666663,-44.78695555555555,6496.951114368177,5752.623417155116,2.5428890125521075,0.684611280605622,22.536681486788478,0.2923081777734959,3.714354531673233,3.0,5.454545454545454
T17-2743,F410,202.97479166666665,-44.56320555555555,5074.943470692578,7218.260815741944,2.329400483084266,0.6860614754080931,22.63188959699579,0.3197740311078143,3.3953232568534153,3.0,5.454545454545454
T17-2726,F410,202.9279583333333,-44.46597499999999,5293.00623035706,7854.878808590145,2.3108026301495057,0.685868017727167,22.640592867043754,0.32225674699180024,3.369165160677787,3.0,5.454545454545454
T17-2731,F410,202.9363333333333,-44.41698333333333,5253.676088783398,8175.5428411928915,3.1728520225813344,0.782219520821796,22.296375455799225,0.26767212835026205,4.056216877901425,3.0,5.454545454545454
T17-2856,F410,203.2530833333333,-44.44150277777777,3773.494848578216,8011.228031290879,3.6450240703728825,0.6994085112846663,22.14574899854636,0.20833144801155284,5.211580945272942,3.0,5.454545454545454
T17-2753,F410,203.00375,-44.36922777777777,4938.020567731155,8487.810289965368,3.6684288520224806,0.6944535298811935,22.13879974876733,0.205535767580282,5.282468436225059,3.0,5.454545454545454
T17-2585,F410,202.6370833333333,-44.23965555555555,6656.287383011221,9334.66379084723,3.3058355461761444,0.6983587777125368,22.251796887169053,0.22936210778850857,4.733720906328917,3.0,5.454545454545454
T17-2550,F410,202.5809583333333,-44.18536111111111,6920.8164632957,9689.205900080273,4.15975048429306,0.7055712868716344,22.002331797558508,0.18416111593397858,5.89557789792805,3.0,5.454545454545454
T17-2519,F410,202.507,-44.19212777777777,7267.7721608854,9643.47450543992,3.6213272115251236,0.702684974574709,22.152830579879968,0.21067704542335425,5.153557202097405,3.0,5.454545454545454
T17-2520,F410,202.509375,-44.123997222222215,7258.679619509109,10089.531696633696,10.511249484105404,0.7148778581244158,20.995864139568177,0.0738417229768267,14.703560006296975,3.0,5.454545454545454
T17-3019,F410,203.78204166666663,-44.21341944444444,1284.909471933981,9485.106695621902,3.904467938923049,0.7611008320054088,22.07109534744561,0.2116433638862807,5.130027158997117,3.0,5.454545454545454
T17-2479,F430,202.39904166666665,-45.51761666666666,7722.728528344982,964.5008504201714,2.475401405411289,0.7701036008569512,22.535885917058316,0.3377752630491345,3.2143745369541543,3.0,5.454545454545454
T17-2511,F430,202.4760833333333,-45.2631,7377.715745147672,2632.555963310478,3.0892175457098885,0.7417280116302236,22.295378767952556,0.2606876804220447,4.164892652389091,3.0,5.454545454545454
T17-2517,F430,202.5028333333333,-45.17933055555555,7257.042513447415,3181.4937398373418,3.209322453979294,0.7374201362580991,22.253966613346904,0.24947438331114388,4.352094953989733,3.0,5.454545454545454
T17-2794,F430,203.06466666666665,-45.26204444444444,4665.98972110487,2643.2773403689475,2.2913897930452145,0.7314130424606212,22.6197525644893,0.3465676696483921,3.1328259957417717,3.0,5.454545454545454
T17-2759,F430,203.0108333333333,-45.21297499999999,4913.511726127836,2964.9492982790343,4.258449232888985,0.7283661871516588,21.94687131457533,0.18570458316247054,5.846577323340656,3.0,5.454545454545454
T17-2630,F430,202.746625,-45.26478888888888,6131.258702667274,2625.710358596838,3.5687199184862206,0.7377145127618276,22.138718837892444,0.22443995986683427,4.837535193832343,3.0,5.454545454545454
T17-2658,F430,202.7985,-45.23445555555555,5892.476986378012,2824.596157201373,2.607160220007612,0.7307233082547572,22.479580697369652,0.3043053301229444,3.5679171453207013,3.0,5.454545454545454
T17-2699,F430,202.87791666666664,-45.07733333333333,5526.481676166788,3853.273907843915,3.0567930986141643,0.8248751928313091,22.306834889585733,0.2929857639595646,3.7057643691792936,3.0,5.454545454545454
T17-2544,F430,202.5755,-45.12152777777777,6923.196712402623,3561.2816991880236,7.384703967079255,0.7307561277070952,21.34916727425206,0.10743942996732633,10.105565573908159,3.0,5.454545454545454
T17-2534,F430,202.550125,-45.09203888888888,7041.1861814469285,3753.839339068995,3.2287443765839035,0.733934560227374,22.24741584304208,0.24680161419442997,4.399226513578586,3.0,5.454545454545454
T17-2911,F430,203.431125,-44.43034722222222,2940.940692553032,8079.588919258023,3.217894493230525,0.7386032185484691,22.25107049860285,0.2492089958250552,4.356729584193327,3.0,5.454545454545454
T17-2361,F430,202.15366666666665,-44.91257777777777,8883.79194209341,4916.461404667702,3.061673951237783,0.7399056502830751,22.305102651924084,0.2623866438464697,4.137924815233455,3.0,5.454545454545454
T17-2743,F430,202.97479166666665,-44.56320555555555,5074.943470692578,7218.260815741944,2.3735875305115695,0.7216484576537412,22.581486870557917,0.3300994159729437,3.289118829725894,3.0,5.454545454545454
T17-2726,F430,202.9279583333333,-44.46597499999999,5293.00623035706,7854.878808590145,2.7988762074768836,0.72363795929408,22.402540774197767,0.2807126408249198,3.8677852253732383,3.0,5.454545454545454
