# id redshift F0378 F0378_err F0395 F0395_err F0410 F0410_err F0430 F0430_err F0515 F0515_err F0660 F0660_err F0861 F0861_err
T17-2692 1.825000e-03 1.161226e-05 5.343909e-06 1.561378e-05 7.806890e-06 2.144723e-05 7.900038e-06 2.047460e-05 6.626696e-06 4.193340e-05 5.489485e-06 7.204919e-05 2.814530e-06 9.913195e-05 8.976097e-06
T17-2726 1.825000e-03 1.600391e-05 4.804837e-06 3.051639e-05 9.240385e-06 2.248861e-05 6.736006e-06 2.384653e-05 6.405973e-06 6.198779e-05 5.559458e-06 1.146628e-04 3.054324e-06 1.616893e-04 8.704050e-06
T17-2573 1.825000e-03 3.876762e-07 1.938381e-07 8.365344e-06 4.182672e-06 5.497435e-06 2.748718e-06 6.990417e-06 3.495209e-06 2.152852e-05 5.649265e-06 1.307182e-05 3.088769e-06 2.882719e-05 9.337018e-06
T17-2448 1.825000e-03 7.498843e-06 3.749421e-06 2.190915e-06 1.095457e-06 1.403308e-05 7.016542e-06 1.389624e-06 6.948122e-07 1.406360e-05 5.438504e-06 2.536267e-05 3.135355e-06 3.737332e-05 7.848865e-06
T17-2533 1.825000e-03 1.539211e-05 4.950177e-06 7.279881e-06 3.639941e-06 2.807622e-05 6.941987e-06 2.401249e-05 6.799440e-06 3.992096e-05 5.895057e-06 6.083689e-05 2.672820e-06 9.593283e-05 7.817878e-06
T17-2713 1.825000e-03 1.581047e-06 7.905234e-07 6.497665e-06 3.248833e-06 5.687256e-06 2.843628e-06 6.351000e-07 3.175500e-07 1.948191e-05 5.250373e-06 1.008058e-05 3.022281e-06 1.859943e-05 8.180950e-06
T17-2731 1.825000e-03 2.938179e-05 5.947627e-06 2.042452e-05 1.021226e-05 4.450081e-05 9.062175e-06 5.489329e-05 7.897304e-06 6.715380e-05 6.615539e-06 1.033291e-04 3.894437e-06 1.058744e-04 9.441065e-06
T17-2679 1.825000e-03 2.862041e-07 1.431020e-07 1.223060e-05 6.115302e-06 1.113919e-05 5.569595e-06 1.021357e-05 5.106783e-06 1.821884e-05 5.321373e-06 3.109736e-05 2.937041e-06 5.233500e-05 7.691238e-06
T17-2684 1.825000e-03 9.410762e-06 4.705381e-06 7.013978e-06 3.506989e-06 9.968367e-06 4.984184e-06 1.033743e-05 5.168715e-06 3.612610e-05 5.362921e-06 6.513262e-05 2.808384e-06 8.649675e-05 8.048868e-06
T17-2856 1.825000e-03 4.255279e-05 5.919052e-06 4.721827e-05 8.512362e-06 4.339367e-05 7.705817e-06 5.165638e-05 6.493058e-06 9.869574e-05 5.717308e-06 1.494577e-04 2.602689e-06 1.858714e-04 8.170499e-06
