Filter,Median_ZP,MAD,STD_MAD,Mean_ZP,STD,Mean_Clipped,Median_Clipped,STD_Clipped,N_Stars,Min,Max,Q25,Q75,Field
mag_F430,20.7486,0.0149,0.0221,20.758,0.1057,20.7459,20.748,0.0224,100,20.6835,21.779,20.7325,20.7618,CenA23
mag_F515,20.9413,0.0133,0.0197,20.9524,0.0928,20.9421,20.9409,0.0184,100,20.9004,21.849,20.9319,20.9553,CenA23
mag_F660,20.5502,0.01,0.0149,20.5562,0.0473,20.5501,20.5493,0.0141,100,20.5215,20.9879,20.5416,20.5608,CenA23
mag_F861,21.1411,0.0068,0.0101,21.1463,0.0378,21.1408,21.1408,0.0109,100,21.1205,21.481,21.1344,21.148,CenA23
mag_F378,19.6089,0.0337,0.0499,19.6085,0.0504,19.6085,19.6089,0.0504,100,19.4871,19.7443,19.5752,19.6426,CenA08
mag_F395,19.7428,0.0349,0.0518,19.7448,0.0548,19.7448,19.7428,0.0548,100,19.624,19.8753,19.7072,19.7757,CenA08
mag_F410,20.7065,0.0148,0.022,20.7071,0.0222,20.7071,20.7065,0.0222,100,20.6481,20.7551,20.6932,20.7238,CenA08
mag_F430,20.9299,0.0136,0.0202,20.9295,0.0213,20.9295,20.9299,0.0213,100,20.8688,20.9788,20.9171,20.9441,CenA08
mag_F515,21.0924,0.0109,0.0161,21.0929,0.0166,21.0924,21.0924,0.0156,100,21.0542,21.1508,21.082,21.1038,CenA08
mag_F660,20.6848,0.0073,0.0108,20.6837,0.0138,20.6845,20.6861,0.0112,100,20.6399,20.7317,20.6774,20.692,CenA08
mag_F861,21.2087,0.0057,0.0085,21.208,0.0123,21.2082,21.2087,0.0087,100,21.135,21.2562,21.2032,21.2145,CenA08
mag_F378,19.5579,0.039,0.0578,19.5567,0.09,19.5611,19.5579,0.0607,100,18.9213,19.7654,19.5201,19.5965,CenA15
mag_F395,19.6328,0.0421,0.0625,19.6383,0.0845,19.6421,19.6328,0.0596,100,19.0665,19.832,19.6013,19.6833,CenA15
mag_F410,20.6205,0.0141,0.0209,20.6155,0.0682,20.6184,20.6199,0.0254,100,20.0265,20.8322,20.6039,20.6333,CenA15
mag_F430,20.8236,0.0183,0.0271,20.8187,0.0583,20.8218,20.8236,0.024,100,20.3228,21.0106,20.8017,20.8375,CenA15
mag_F515,20.9603,0.0097,0.0143,20.9561,0.0517,20.9589,20.9603,0.0162,100,20.4988,21.1331,20.9505,20.9695,CenA15
mag_F660,20.5005,0.0081,0.012,20.4992,0.0317,20.5004,20.5005,0.0123,100,20.2283,20.6008,20.4922,20.5083,CenA15
mag_F861,21.0654,0.006,0.0089,21.065,0.0183,21.0649,21.0652,0.0079,100,20.9443,21.1662,21.0594,21.0709,CenA15
mag_F378,19.5541,0.028,0.0415,19.5549,0.0771,19.5533,19.5541,0.0541,100,19.2483,20.0161,19.5252,19.5792,CenA17
mag_F395,19.6986,0.0431,0.0639,19.7083,0.082,19.705,19.6986,0.0556,100,19.4717,20.2668,19.6609,19.7436,CenA17
mag_F410,20.673,0.0184,0.0273,20.678,0.0549,20.6731,20.6729,0.0238,100,20.5802,21.1521,20.6551,20.6919,CenA17
mag_F430,20.7775,0.0181,0.0269,20.7845,0.0597,20.7782,20.777,0.0251,100,20.6884,21.2984,20.7622,20.7968,CenA17
mag_F515,21.0031,0.0115,0.0171,21.0067,0.0386,21.0022,21.0026,0.0182,100,20.9639,21.3226,20.9909,21.0136,CenA17
mag_F660,20.5158,0.0082,0.0121,20.5191,0.0214,20.5164,20.5157,0.0115,100,20.4862,20.6872,20.5081,20.5251,CenA17
mag_F861,21.1506,0.006,0.0088,21.1542,0.0229,21.1506,21.1504,0.009,100,21.1155,21.3115,21.1451,21.1579,CenA17
mag_F378,19.6486,0.0332,0.0492,19.6437,0.0643,19.6485,19.649,0.0453,100,19.2977,19.7928,19.6162,19.6813,CenA01
mag_F395,19.6829,0.0379,0.0563,19.6879,0.0619,19.6898,19.6829,0.0479,100,19.3273,19.8573,19.6485,19.7317,CenA01
mag_F410,20.6989,0.0121,0.0179,20.6942,0.0451,20.6984,20.6989,0.0161,100,20.2856,20.7635,20.6856,20.7085,CenA01
mag_F430,20.8965,0.0128,0.0189,20.8937,0.0425,20.8978,20.8965,0.0161,100,20.5111,20.947,20.8845,20.9105,CenA01
mag_F515,21.0972,0.0097,0.0144,21.0958,0.0165,21.0971,21.0976,0.0136,100,21.027,21.1352,21.0883,21.1077,CenA01
mag_F660,20.628,0.0069,0.0102,20.6261,0.0245,20.6291,20.6282,0.0114,100,20.4181,20.662,20.6222,20.6352,CenA01
mag_F861,21.1654,0.008,0.0119,21.1637,0.0185,21.1652,21.1655,0.0113,100,21.0167,21.1986,21.1567,21.1732,CenA01
mag_F378,19.412,0.0367,0.0545,19.4158,0.0892,19.4131,19.412,0.0504,100,19.045,20.0547,19.3772,19.4501,CenA19
mag_F395,19.496,0.0366,0.0543,19.5022,0.0871,19.4955,19.4952,0.0563,100,19.3676,20.1651,19.4631,19.5352,CenA19
mag_F410,20.4819,0.0157,0.0233,20.4891,0.0712,20.4816,20.4816,0.021,100,20.4242,21.1635,20.4686,20.4984,CenA19
mag_F430,20.7099,0.0161,0.0239,20.7131,0.0643,20.7071,20.7091,0.0251,100,20.6345,21.3028,20.6921,20.7234,CenA19
mag_F515,20.9148,0.0109,0.0161,20.9201,0.0482,20.9155,20.9147,0.016,100,20.8781,21.3724,20.904,20.9256,CenA19
mag_F660,20.4727,0.0082,0.0122,20.476,0.0275,20.4735,20.4727,0.0123,100,20.4399,20.7215,20.465,20.4815,CenA19
mag_F861,21.0727,0.0059,0.0087,21.0753,0.0198,21.0732,21.0721,0.0091,100,21.0381,21.2353,21.068,21.0795,CenA19
mag_F378,19.4457,0.0396,0.0586,19.4531,0.0965,19.4452,19.4439,0.0582,100,19.1002,19.9782,19.4063,19.4851,CenA14
mag_F395,19.453,0.0381,0.0565,19.4658,0.0839,19.4564,19.4519,0.0499,100,19.2881,19.9401,19.4162,19.4923,CenA14
mag_F410,20.4666,0.0185,0.0275,20.4755,0.0748,20.4636,20.4651,0.0258,100,20.3913,21.0201,20.4465,20.4846,CenA14
mag_F430,20.6842,0.0203,0.0301,20.6927,0.0666,20.6829,20.6836,0.0266,100,20.6217,21.1677,20.6632,20.7036,CenA14
mag_F515,20.9608,0.0146,0.0217,20.974,0.0808,20.9596,20.9583,0.0191,100,20.9095,21.4597,20.9459,20.9751,CenA14
mag_F660,20.432,0.0082,0.0122,20.4381,0.0319,20.433,20.4316,0.0107,100,20.4078,20.67,20.4253,20.4423,CenA14
mag_F861,21.0643,0.0063,0.0093,21.0711,0.0448,21.0644,21.0641,0.0089,100,21.0425,21.4612,21.0578,21.0702,CenA14
mag_F378,19.6212,0.0379,0.0562,19.6173,0.1095,19.6243,19.6212,0.0525,100,18.9554,19.913,19.5842,19.6595,CenA18
mag_F395,19.7454,0.0336,0.0499,19.7399,0.0785,19.7393,19.7446,0.0492,100,19.404,20.046,19.7087,19.7726,CenA18
mag_F410,20.7132,0.016,0.0238,20.7223,0.0567,20.7134,20.7121,0.0213,100,20.6499,21.0982,20.6981,20.7308,CenA18
mag_F430,20.9016,0.0133,0.0197,20.9131,0.0488,20.904,20.9007,0.0193,100,20.8626,21.2311,20.8903,20.922,CenA18
mag_F515,21.0726,0.0126,0.0187,21.0865,0.0715,21.0719,21.0708,0.0157,100,21.0417,21.5783,21.0618,21.0858,CenA18
mag_F660,20.6036,0.0102,0.0151,20.612,0.0367,20.6054,20.602,0.0148,100,20.5625,20.8477,20.5965,20.6156,CenA18
mag_F861,21.0906,0.012,0.0178,21.0969,0.0374,21.0907,21.0897,0.0164,100,21.0526,21.3561,21.0793,21.1027,CenA18
mag_F378,19.6109,0.0421,0.0624,19.6095,0.0606,19.6097,19.6109,0.0551,100,19.4125,19.7878,19.5634,19.6445,CenA10
mag_F395,19.7166,0.0377,0.0559,19.7214,0.0656,19.7218,19.7166,0.0544,100,19.4374,19.9671,19.6798,19.7555,CenA10
mag_F410,20.7095,0.0111,0.0165,20.7106,0.0317,20.7103,20.7095,0.0158,100,20.5484,20.8976,20.6991,20.7212,CenA10
mag_F430,20.8812,0.0135,0.0199,20.8796,0.0345,20.8795,20.8812,0.0207,100,20.688,21.0806,20.8668,20.8935,CenA10
mag_F515,21.0647,0.0104,0.0155,21.0673,0.0306,21.0669,21.0647,0.017,100,20.906,21.2658,21.0576,21.0767,CenA10
mag_F660,20.6299,0.0082,0.0121,20.6293,0.0229,20.6293,20.6299,0.0117,100,20.4914,20.7712,20.6211,20.6373,CenA10
mag_F861,21.2076,0.0086,0.0127,21.2076,0.0198,21.2081,21.2078,0.0114,100,21.0878,21.3124,21.2005,21.2167,CenA10
mag_F378,19.5782,0.0269,0.0398,19.5808,0.0452,19.5808,19.5782,0.0452,100,19.4465,19.7132,19.5525,19.6053,CenA05
mag_F395,19.7695,0.0334,0.0495,19.7752,0.0542,19.7735,19.7692,0.0517,100,19.6373,19.9463,19.7385,19.8099,CenA05
mag_F410,20.6728,0.0177,0.0262,20.6772,0.0359,20.6762,20.6714,0.0236,100,20.4703,20.7991,20.6585,20.6949,CenA05
mag_F430,20.8513,0.0182,0.027,20.8514,0.0405,20.8507,20.8513,0.0255,100,20.6183,21.0206,20.8343,20.8696,CenA05
mag_F515,21.0226,0.0121,0.0179,21.0257,0.0401,21.0249,21.0225,0.0193,100,20.7438,21.173,21.012,21.0395,CenA05
mag_F660,20.5588,0.0129,0.0192,20.5598,0.0401,20.5575,20.5571,0.0166,100,20.3156,20.753,20.5443,20.5699,CenA05
mag_F861,21.1538,0.0073,0.0109,21.1558,0.0325,21.1538,21.1536,0.0106,100,20.9565,21.3383,21.1471,21.1615,CenA05
